"ControlId","DisabledReason"
"CIS.3.1","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.2","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.3","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.4","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.5","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.6","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.7","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.8","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.9","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.10","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.11","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.12","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.13","Cloudwatch monitoring is performed in the WSU AWS Master Account"
"CIS.3.14","Cloudwatch monitoring is performed in the WSU AWS Master Account"