"ConfigRuleName","ConfigRuleIdentity","Description","InputParameters"
"acm-certificate-expiration-check","ACM_CERTIFICATE_EXPIRATION_CHECK","Checks whether ACM Certificates in your account are marked for expiration within the specified number of days. Certificates provided by ACM are automatically renewed. ACM does not automatically renew certificates that you import.","{""daysToExpiration"":""14""}"
"alb-http-to-https-redirection-check","ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK","Checks whether HTTP to HTTPS redirection is configured on all HTTP listeners of Application Load Balancers. The rule is NON_COMPLIANT if one or more HTTP listeners of Application Load Balancer do not have HTTP to HTTPS redirection configured.","{}"
"api-gw-cache-enabled-and-encrypted","API_GW_CACHE_ENABLED_AND_ENCRYPTED","Checks that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in Amazon API Gateway stage is not configured to cache or the cache is not encrypted.","{}"
"api-gw-execution-logging-enabled","API_GW_EXECUTION_LOGGING_ENABLED"," Checks that all methods in Amazon API Gateway stage has logging enabled. The rule is NON_COMPLIANT if logging is not enabled. The rule is NON_COMPLIANT if loggingLevel is neither ERROR nor INFO.","{""loggingLevel"":""ERROR,INFO""}"
"autoscaling-group-elb-healthcheck-required","AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED","Checks whether your Auto Scaling groups that are associated with a load balancer are using Elastic Load Balancing health checks.","{}"
"cloud-trail-cloud-watch-logs-enabled","CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED","Checks whether AWS CloudTrail trails are configured to send logs to Amazon CloudWatch logs. The trail is non-compliant if the CloudWatchLogsLogGroupArn property of the trail is empty.","{}"
"cloud-trail-encryption-enabled","CLOUD_TRAIL_ENCRYPTION_ENABLED","Checks whether AWS CloudTrail is configured to use the server side encryption (SSE) AWS Key Management Service (AWS KMS) customer master key (CMK) encryption. The rule is compliant if the KmsKeyId is defined.","{}"
"cloud-trail-log-file-validation-enabled","CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED","Checks whether AWS CloudTrail creates a signed digest file with logs. AWS recommends that the file validation must be enabled on all trails. The rule is noncompliant if the validation is not enabled.","{}"
"cloudformation-stack-notification-check","CLOUDFORMATION_STACK_NOTIFICATION_CHECK","Checks whether your CloudFormation stacks are sending event notifications to an SNS topic. Optionally checks whether specified SNS topics are used.","{}"
"cloudtrail-enabled","CLOUD_TRAIL_ENABLED","Checks whether AWS CloudTrail is enabled in your AWS account. Optionally, you can specify which S3 bucket, SNS topic, and Amazon CloudWatch Logs ARN to use.","{}"
"cloudtrail-s3-dataevents-enabled","CLOUDTRAIL_S3_DATAEVENTS_ENABLED","Checks whether at least one AWS CloudTrail trail is logging Amazon S3 data events for all S3 buckets. The rule is NON_COMPLIANT if trails log data events for S3 buckets is not configured.","{}"
"cloudwatch-log-group-encrypted","CLOUDWATCH_LOG_GROUP_ENCRYPTED","Checks whether a log group in Amazon CloudWatch Logs is encrypted. The rule is NON_COMPLIANT if CloudWatch Logs has log group without encryption enabled.","{}"
"cmk-backing-key-rotation-enabled","CMK_BACKING_KEY_ROTATION_ENABLED","Checks that key rotation is enabled for each key and matches to the key ID of the customer created customer master key (CMK). The rule is compliant, if the key rotation is enabled for specific key object.","{}"
"codepipeline-deployment-count-check","CODEPIPELINE_DEPLOYMENT_COUNT_CHECK","Checks whether the first deployment stage of the AWS CodePipeline performs more than one deployment. Optionally checks if each of the subsequent remaining stages deploy to more than the specified number of deployments (deploymentLimit).","{}"
"codepipeline-region-fanout-check","CODEPIPELINE_REGION_FANOUT_CHECK","Checks whether each stage in the AWS CodePipeline deploys to more regions than N times the number of regions the pipeline has deployed to in all previous stages, where N is regionFanoutFactor. The first deployment stage can deploy to only one region.","{""regionFanoutFactor"":""3""}"
"db-instance-backup-enabled","DB_INSTANCE_BACKUP_ENABLED","Checks whether RDS DB instances have backups enabled. Optionally, the rule checks the backup retention period and the backup window.","{}"
"dms-replication-not-public","DMS_REPLICATION_NOT_PUBLIC","Checks whether AWS Database Migration Service replication instances are public. The rule is NON_COMPLIANT if PubliclyAccessible field is true.","{}"
"dynamodb-autoscaling-enabled","DYNAMODB_AUTOSCALING_ENABLED","This rule checks whether Auto Scaling is enabled on your DynamoDB tables. Optionally you can set the read and write capacity units for the table.","{}"
"dynamodb-table-encryption-enabled","DYNAMODB_TABLE_ENCRYPTION_ENABLED","Checks whether the Amazon DynamoDB tables are encrypted and checks their status. The rule is compliant if the status is enabled or enabling.","{}"
"dynamodb-throughput-limit-check","DYNAMODB_THROUGHPUT_LIMIT_CHECK","Checks whether provisioned DynamoDB throughput is approaching the maximum limit for your account. By default, the rule checks if provisioned throughput exceeds a threshold of 80% of your account limits.","{""accountWCUThresholdPercentage"":""80"",""accountRCUThresholdPercentage"":""80""}"
"ebs-optimized-instance","EBS_OPTIMIZED_INSTANCE","Checks whether EBS optimization is enabled for your EC2 instances that can be EBS-optimized.","{}"
"ebs-snapshot-public-restorable-check","EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK","Checks whether Amazon Elastic Block Store (Amazon EBS) snapshots are not publicly restorable. The rule is NON_COMPLIANT if one or more snapshots with RestorableByUserIds field are set to all, that is, Amazon EBS snapshots are public.","{}"
"ec2-instance-detailed-monitoring-enabled","EC2_INSTANCE_DETAILED_MONITORING_ENABLED","Checks whether detailed monitoring is enabled for EC2 instances.","{}"
"ec2-instance-managed-by-systems-manager","EC2_INSTANCE_MANAGED_BY_SSM","Checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.","{}"
"ec2-instance-no-public-ip","EC2_INSTANCE_NO_PUBLIC_IP","Checks whether Amazon Elastic Compute Cloud (Amazon EC2) instances have a public IP association. The rule is NON_COMPLIANT if the publicIp field is present in the Amazon EC2 instance configuration item. This rule applies only to IPv4.","{}"
"ec2-instances-in-vpc","INSTANCES_IN_VPC","Checks whether your EC2 instances belong to a virtual private cloud (VPC). Optionally, you can specify the VPC ID to associate with your instances.","{}"
"ec2-managedinstance-association-compliance-status-check","EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK","Checks whether the compliance status of the AWS Systems Manager association compliance is COMPLIANT or NON_COMPLIANT after the association execution on the instance. The rule is compliant if the field status is COMPLIANT.","{}"
"ec2-managedinstance-patch-compliance-status-check","EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK","Checks whether the compliance status of the AWS Systems Manager patch compliance is COMPLIANT or NON_COMPLIANT after the patch installation on the instance. The rule is compliant if the field status is COMPLIANT.","{}"
"ec2-security-group-attached-to-eni","EC2_SECURITY_GROUP_ATTACHED_TO_ENI","Checks that security groups are attached to Amazon Elastic Compute Cloud (EC2) instances or an elastic network interfaces (ENIs). The rule returns NON_COMPLIANT if the security group is not associated with an EC2 instance or an ENI.","{}"
"ec2-stopped-instance","EC2_STOPPED_INSTANCE","Checks whether there are instances stopped for more than the allowed number of days.","{""AllowedDays"":""30""}"
"ec2-volume-inuse-check","EC2_VOLUME_INUSE_CHECK","Checks whether EBS volumes are attached to EC2 instances. Optionally checks if EBS volumes are marked for deletion when an instance is terminated.","{}"
"efs-encrypted-check","EFS_ENCRYPTED_CHECK","Checks whether Amazon EFS are configured to encrypt file data using AWS KMS. The rule is NON_COMPLIANT if the Encrypted key is set to False on DescribeFileSystems or, if specified, KmsKeyId key on DescribeFileSystems is not matching KmsKeyId parameter.","{}"
"eip-attached","EIP_ATTACHED","Checks whether all EIP addresses allocated to a VPC are attached to EC2 instances or in-use ENIs.","{}"
"elasticache-redis-cluster-automatic-backup-check","ELASTICACHE_REDIS_CLUSTER_AUTOMATIC_BACKUP_CHECK","The rule is NON_COMPLIANT if SnapshotRetentionLimit for Redis cluster is less than the SnapshotRetentionPeriod parameter, i.e from 0 to 15 as the default is 15.","{""snapshotRetentionPeriod"":""15""}"
"elasticsearch-encrypted-at-rest","ELASTICSEARCH_ENCRYPTED_AT_REST","Checks whether Amazon Elasticsearch Service (Amazon ES) domains have encryption at rest configuration enabled. The rule is NON_COMPLIANT if EncryptionAtRestOptions field is not enabled.","{}"
"elasticsearch-in-vpc-only","ELASTICSEARCH_IN_VPC_ONLY","Checks whether Amazon Elasticsearch Service domains are in Amazon Virtual Private Cloud (VPC). The rule is NON_COMPLIANT if ElasticSearch Service domain endpoint is public.","{}"
"elb-acm-certificate-required","ELB_ACM_CERTIFICATE_REQUIRED","This rule checks whether the Elastic Load Balancer(s) uses SSL certificates provided by AWS Certificate Manager. You must use an SSL or HTTPS listener with your Elastic Load Balancer to use this rule.","{}"
"elb-deletion-protection-enabled","ELB_DELETION_PROTECTION_ENABLED","Checks whether an Elastic Load Balancer has deletion protection enabled. The rule is NON_COMPLIANT if deletion_protection.enabled is false.","{}"
"elb-logging-enabled","ELB_LOGGING_ENABLED","Checks whether the Application Load Balancers and the Classic Load Balancers have logging enabled.","{}"
"emr-kerberos-enabled","EMR_KERBEROS_ENABLED","The rule is NON_COMPLIANT if a security configuration is not attached to the cluster or the security configuration does not satisfy the specified rule parameters.","{}"
"emr-master-no-public-ip","EMR_MASTER_NO_PUBLIC_IP","Checks whether Amazon Elastic MapReduce (EMR) clusters' master nodes have public IPs. The rule is NON_COMPLIANT if the master node has a public IP.","{}"
"encrypted-volumes","ENCRYPTED_VOLUMES","Checks whether EBS volumes that are in an attached state are encrypted. Optionally, you can specify the ID of a KMS key to use to encrypt the volume.","{}"
"guardduty-enabled-centralized","GUARDDUTY_ENABLED_CENTRALIZED","Checks whether Amazon GuardDuty is enabled in your AWS account and region. If you provide an AWS account for centralization, the rule evaluates the GuardDuty results in that account. The rule is compliant when GuardDuty is enabled.","{}"
"guardduty-non-archived-findings","GUARDDUTY_NON_ARCHIVED_FINDINGS","Checks whether Amazon GuardDuty has findings that are non archived. The rule is NON_COMPLIANT if Amazon GuardDuty has non archived low/medium/high severity findings older than the specified number in the daysLowSev/daysMediumSev/daysHighSev parameter.","{""daysMediumSev"":""7"",""daysHighSev"":""1"",""daysLowSev"":""30""}"
"iam-password-policy","IAM_PASSWORD_POLICY","Checks whether the account password policy for IAM users meets the specified requirements.","{""MinimumPasswordLength"":""14"",""RequireLowercaseCharacters"":""true"",""RequireNumbers"":""true"",""PasswordReusePrevention"":""24"",""MaxPasswordAge"":""90"",""RequireUppercaseCharacters"":""true"",""RequireSymbols"":""true""}"
"iam-policy-no-statements-with-admin-access","IAM_POLICY_NO_STATEMENTS_WITH_ADMIN_ACCESS","Checks whether the default version of AWS Identity and Access Management (IAM) policies do not have administrator access. If any statement has ""Effect"": ""Allow"" with ""Action"": ""*"" over ""Resource"": ""*"", the rule is non-compliant.","{}"
"iam-root-access-key-check","IAM_ROOT_ACCESS_KEY_CHECK","Checks whether the root user access key is available. The rule is compliant if the user access key does not exist.","{}"
"iam-user-group-membership-check","IAM_USER_GROUP_MEMBERSHIP_CHECK","Checks whether IAM users are members of at least one IAM group.","{}"
"iam-user-mfa-enabled","IAM_USER_MFA_ENABLED","Checks whether the AWS Identity and Access Management users have multi-factor authentication (MFA) enabled.","{}"
"iam-user-no-policies-check","IAM_USER_NO_POLICIES_CHECK","Checks that none of your IAM users have policies attached. IAM users must inherit permissions from IAM groups or roles.","{}"
"internet-gateway-authorized-vpc-only","INTERNET_GATEWAY_AUTHORIZED_VPC_ONLY","Checks that Internet gateways (IGWs) are only attached to an authorized Amazon Virtual Private Cloud (VPCs). The rule is NON_COMPLIANT if IGWs are not attached to an authorized VPC.","{}"
"kms-cmk-not-scheduled-for-deletion","KMS_CMK_NOT_SCHEDULED_FOR_DELETION","Checks whether customer master keys (CMKs) are not scheduled for deletion in AWS Key Management Service (KMS). The rule is NON_COMPLAINT if CMKs are scheduled for deletion.","{}"
"lambda-concurrency-check","LAMBDA_CONCURRENCY_CHECK","Checks whether the AWS Lambda function is configured with function-level concurrent execution limit. The rule is NON_COMPLIANT if the Lambda function is not configured with function-level concurrent execution limit.","{}"
"lambda-dlq-check","LAMBDA_DLQ_CHECK","Checks whether an AWS Lambda function is configured with a dead-letter queue. The rule is NON_COMPLIANT if the Lambda function is not configured with a dead-letter queue.","{}"
"lambda-function-public-access-prohibited","LAMBDA_FUNCTION_PUBLIC_ACCESS_PROHIBITED","Checks whether the Lambda function policy prohibits public access. The rule is NON_COMPLIANT if the Lambda function policy allows public access.","{}"
"lambda-inside-vpc","LAMBDA_INSIDE_VPC","Checks whether an AWS Lambda function is in an Amazon Virtual Private Cloud. The rule is NON_COMPLIANT if the Lambda function is not in a VPC.","{}"
"mfa-enabled-for-iam-console-access","MFA_ENABLED_FOR_IAM_CONSOLE_ACCESS","Checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password. The rule is compliant if MFA is enabled.","{}"
"multi-region-cloudtrail-enabled","MULTI_REGION_CLOUD_TRAIL_ENABLED","Checks that there is at least one multi-region AWS CloudTrail. The rule is non-compliant if the trails do not match input parameters.","{}"
"rds-enhanced-monitoring-enabled","RDS_ENHANCED_MONITORING_ENABLED","Checks whether enhanced monitoring is enabled for Amazon Relational Database Service (Amazon RDS) instances.","{}"
"rds-instance-public-access-check","RDS_INSTANCE_PUBLIC_ACCESS_CHECK","Checks whether the Amazon Relational Database Service (RDS) instances are not publicly accessible. The rule is non-compliant if the publiclyAccessible field is true in the instance configuration item.","{}"
"rds-multi-az-support","RDS_MULTI_AZ_SUPPORT","Checks whether high availability is enabled for your RDS DB instances.","{}"
"rds-snapshots-public-prohibited","RDS_SNAPSHOTS_PUBLIC_PROHIBITED","Checks if Amazon Relational Database Service (Amazon RDS) snapshots are public. The rule is non-compliant if any existing and new Amazon RDS snapshots are public.","{}"
"rds-storage-encrypted","RDS_STORAGE_ENCRYPTED","Checks whether storage encryption is enabled for your RDS DB instances.","{}"
"redshift-cluster-public-access-check","REDSHIFT_CLUSTER_PUBLIC_ACCESS_CHECK","Checks whether Amazon Redshift clusters are not publicly accessible. The rule is NON_COMPLIANT if the publiclyAccessible field is true in the cluster configuration item.","{}"
"restricted-ssh","INCOMING_SSH_DISABLED","Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.","{}"
"root-account-hardware-mfa-enabled","ROOT_ACCOUNT_HARDWARE_MFA_ENABLED","Checks whether your AWS account is enabled to use multi-factor authentication (MFA) hardware device to sign in with root credentials.","{}"
"root-account-mfa-enabled","ROOT_ACCOUNT_MFA_ENABLED","Checks whether the root user of your AWS account requires multi-factor authentication for console sign-in.","{}"
"s3-account-level-public-access-blocks","S3_ACCOUNT_LEVEL_PUBLIC_ACCESS_BLOCKS","Checks whether the required public access block settings are configured from account level. The rule is NON_COMPLIANT when the public access block settings are not configured from account level.","{""RestrictPublicBuckets"":""True"",""BlockPublicPolicy"":""True"",""BlockPublicAcls"":""True"",""IgnorePublicAcls"":""True""}"
"s3-bucket-logging-enabled","S3_BUCKET_LOGGING_ENABLED","Checks whether logging is enabled for your S3 buckets.","{}"
"s3-bucket-policy-grantee-check","S3_BUCKET_POLICY_GRANTEE_CHECK","Checks that the access granted by the Amazon S3 bucket is restricted to any of the AWS principals, federated users, service principals, IP addresses, or VPCs that you provide. The rule is COMPLIANT if a bucket policy is not present.","{""awsPrincipals"":""{accountid}"",""servicePrincipals"":""config.amazonaws.com""}"
"s3-bucket-public-read-prohibited","S3_BUCKET_PUBLIC_READ_PROHIBITED","Checks that your S3 buckets do not allow public read access. If an S3 bucket policy or bucket ACL allows public read access, the bucket is noncompliant.","{}"
"s3-bucket-public-write-prohibited","S3_BUCKET_PUBLIC_WRITE_PROHIBITED","Checks that your S3 buckets do not allow public write access. If an S3 bucket policy or bucket ACL allows public write access, the bucket is noncompliant.","{}"
"s3-bucket-replication-enabled","S3_BUCKET_REPLICATION_ENABLED","Checks whether the Amazon S3 buckets have cross-region replication enabled.","{}"
"s3-bucket-server-side-encryption-enabled","S3_BUCKET_SERVER_SIDE_ENCRYPTION_ENABLED","Checks that your Amazon S3 bucket either has S3 default encryption enabled or that the S3 bucket policy explicitly denies put-object requests without server side encryption.","{}"
"s3-bucket-ssl-requests-only","S3_BUCKET_SSL_REQUESTS_ONLY","Checks whether S3 buckets have policies that require requests to use Secure Socket Layer (SSL).","{}"
"s3-bucket-versioning-enabled","S3_BUCKET_VERSIONING_ENABLED","Checks whether versioning is enabled for your S3 buckets. Optionally, the rule checks if MFA delete is enabled for your S3 buckets.","{}"
"sagemaker-endpoint-configuration-kms-key-configured","SAGEMAKER_ENDPOINT_CONFIGURATION_KMS_KEY_CONFIGURED","Checks whether AWS Key Management Service (KMS) key is configured for an Amazon SageMaker endpoint configuration. The rule is NON_COMPLIANT if 'KmsKeyId' is not specified for the Amazon SageMaker endpoint configuration.","{}"
"sagemaker-notebook-instance-kms-key-configured","SAGEMAKER_NOTEBOOK_INSTANCE_KMS_KEY_CONFIGURED","Check whether an AWS Key Management Service (KMS) key is configured for an Amazon SageMaker notebook instance. The rule is NON_COMPLIANT if 'KmsKeyId' is not specified for the Amazon SageMaker notebook instance.","{}"
"sagemaker-notebook-no-direct-internet-access","SAGEMAKER_NOTEBOOK_NO_DIRECT_INTERNET_ACCESS","Checks whether direct internet access is disabled for an Amazon SageMaker notebook instance. The rule is NON_COMPLIANT if Amazon SageMaker notebook instances are internet-enabled.","{}"
"vpc-default-security-group-closed","VPC_DEFAULT_SECURITY_GROUP_CLOSED","Checks that the default security group of any Amazon Virtual Private Cloud? (VPC) does not allow inbound or outbound traffic. The rule is non-compliant if the default security group has one or more inbound or outbound traffic.","{}"
"vpc-flow-logs-enabled","VPC_FLOW_LOGS_ENABLED","Checks whether Amazon Virtual Private Cloud flow logs are found and enabled for Amazon VPC.","{}"
"vpc-sg-open-only-to-authorized-ports","VPC_SG_OPEN_ONLY_TO_AUTHORIZED_PORTS","Checks whether any security groups with inbound 0.0.0.0/0 have TCP or UDP ports accessible. The rule is NON_COMPLIANT when a security group with inbound 0.0.0.0/0 has a port accessible which is not specified in the rule parameters.","{}"
"vpc-vpn-2-tunnels-up","VPC_VPN_2_TUNNELS_UP","Checks that both VPN tunnels provided by AWS Site-to-Site VPN are in UP status. The rule returns NON_COMPLIANT if one or both tunnels are in DOWN status.","{}"
