"Task","Details","Status"
"Delete all default VPC's","","X"
"Set default IAM password policy","","X"
"","AllowUsersToChangePassword = $true","X"
"","HardExpiry                 = $false","X"
"","MaxPasswordAge             = 30","X"
"","MinimumPasswordLength      = 64","X"
"","PasswordReusePrevention    = 24","X"
"","RequireLowercaseCharacter  = $true","X"
"","RequireNumber              = $true","X"
"","RequireSymbol              = $true","X"
"","RequireUppercaseCharacter  = $true","X"
"Set account alias","{signinlink}","X"
"Create IAM policy objects","","X"
"","MFA Required","X"
"Create IAM groups","","X"
"Create IAM roles","","X"
"Create Config S3 bucket","","X"
"Enable Config","","X"
"","Enable basline conformace rules","X"
"Enable IAM analyzer","","X"
"Enable Guard Duty","","X"
"Enable Security Hub","","X"
"","Enable PCI Security Standard","X"
"","Enable CIS AWS Foundations","X"
"","Disable Cloud Watch Controls","X"
"Deactivate unused STS endpoints","https://console.aws.amazon.com/iam/home#/account_settings",""
"Enroll in SOC Security Hub","",""
"Create Resource Group ec2-automatic-management-mode","",""
"Configure Systems Manager to use resource group","",""
"Delete setup account","",""
"Create CloudWatch event to trigger Dynamic Service Access Lambda","",""
"","",""
"If a master account","",""
"Create Organization","https://console.aws.amazon.com/organizations/home?region=us-west-2#/getting-started",""
"Confirm Email Verification","",""
"Enable Policies","",""
"","Enable Service Control Policies",""
"","Enable Tag Policies",""
"","Enable AI Opt-out Policies",""
"","Enable Backup Policies",""
"Enable Settings","",""
"","Enable Tag Policies Access","",""
"","Enable AWS Artificat","",""
"","Enable AWS Backup","",""
"","Enable AWS CloudFormation StackSets","",""
"","Enable AWS CloudTrail","",""
"","Enable AWS Compute Optimizer","",""
"","Enable AWS Config","",""
"","Enable AWS License Manager","",""
"","Enable AWS Resource Access Manager","",""
"","Enable AWS Service Catalog","",""
"","Enable AWS Systems Manager","",""
"Enable Resource Sharing Within the Organization","https://us-west-2.console.aws.amazon.com/ram/home?region=us-west-2#Settings:",""
"Enable AWS SSO","",""
"","Create customer SSO accounts",""